(0, 0, 0.000000)
(1, 0, 0.000000)
(2, 0, 0.000000)
(3, 0, 0.000000)
(4, 0, 0.000000)
(5, 0, 0.000000)
(6, 0, 0.000000)
(7, 0, 0.000000)
(8, 0, 0.000000)
(9, 0, 0.000000)
(10, 0, 0.000000)
(11, 0, 0.000000)
(12, 0, 0.000000)
(13, 0, 0.000000)
(14, 0, 0.000000)
(15, 0, 0.000000)
(16, 0, 0.000000)
(17, 0, 0.000000)
(18, 0, 0.000000)
(19, 0, 0.000000)
(20, 0, 0.000000)
(21, 0, 0.000000)
(22, 0, 0.000000)
(23, 0, 0.000000)
(24, 0, 0.000000)
(25, 0, 0.000000)
(26, 0, 0.000000)
(27, 0, 0.000000)
(28, 0, 0.000000)
(29, 0, 0.000000)
(30, 0, 0.000000)
(31, 0, 0.000000)
(32, 0, 0.000000)
(33, 0, 0.000000)
(34, 0, 24.625000)
(35, 0, 49.875000)
(36, 0, 23.875000)
(37, 0, 21.125000)
(38, 0, 22.875000)
(39, 0, 21.500000)
(40, 0, 24.500000)
(41, 0, 26.625000)
(42, 0, 41.125000)
(43, 0, 45.125000)
(44, 0, 37.250000)
(45, 0, 32.250000)
(46, 0, 27.625000)
(47, 0, 31.625000)
(48, 0, 41.125000)
(49, 0, 42.750000)
(50, 0, 33.000000)
(51, 0, 35.250000)
(52, 0, 35.875000)
(53, 0, 36.500000)
(54, 0, 70.375000)
(55, 0, 98.000000)
(56, 0, 38.375000)
(57, 0, 24.875000)
(58, 0, 26.875000)
(59, 0, 25.500000)
(60, 0, 28.750000)
(61, 0, 70.625000)
(62, 0, 115.250000)
(63, 0, 73.750000)
(64, 0, 59.750000)
(65, 0, 27.625000)
(66, 0, 23.625000)
(67, 0, 26.500000)
(68, 0, 54.000000)
(69, 0, 41.875000)
(70, 0, 28.250000)
(71, 0, 25.125000)
(72, 0, 24.125000)
(73, 0, 28.625000)
(74, 0, 32.500000)
(75, 0, 26.500000)
(76, 0, 26.250000)
(77, 0, 25.500000)
(78, 0, 29.500000)
(79, 0, 45.875000)
(80, 0, 62.000000)
(81, 0, 43.625000)
(82, 0, 42.000000)
(83, 0, 34.625000)
(84, 0, 32.250000)
(85, 0, 25.875000)
(86, 0, 36.875000)
(87, 0, 31.875000)
(88, 0, 27.500000)
(89, 0, 25.625000)
(90, 0, 24.875000)
(91, 0, 23.125000)
(92, 0, 26.500000)
(93, 0, 23.875000)
(94, 0, 27.750000)
(95, 0, 30.625000)
(96, 0, 31.250000)
(97, 0, 32.375000)
(98, 0, 37.000000)
(99, 0, 42.125000)
(100, 0, 48.375000)
(101, 0, 32.125000)
(102, 0, 23.625000)
(103, 0, 24.250000)
(104, 0, 28.125000)
(105, 0, 28.250000)
(106, 0, 25.500000)
(107, 0, 28.875000)
(108, 0, 30.375000)
